title,description,publishedAt,source,url,lat,lon,semantic_cluster,geo_cluster,days_ago,recency_score,severity,risk_score,risk_level
"Israel will kill Hamas leaders next time if they survived Qatar attack, Israeli official says","An Israeli strike in Doha, targeting Hamas leaders, has sparked international concern and threatens to derail ceasefire negotiations in Gaza. Despite failing to eliminate its targets, Israel vows to persist, drawing condemnation from Qatar and China. Arab sta…",2025-09-10 10:57:36,The Times of India,https://economictimes.indiatimes.com/news/defence/israel-will-kill-hamas-leaders-next-time-if-they-survived-qatar-attack-israeli-official-says/articleshow/123807841.cms,,,2,-1,13,0.5666666666666667,1,1,High
Russian glide bomb attack in eastern Ukraine kills at least 24 people collecting their pensions,"A Russian glide bomb struck Yarova, a village in eastern Ukraine, killing at least 24 people and injuring 19 others. The attack occurred as residents lined up to collect their monthly pensions. Ukrainian President Volodymyr Zelenskyy condemned the ""brutal"" ac…",2025-09-09 15:57:08,The Times of India,https://economictimes.indiatimes.com/news/defence/russian-glide-bomb-attack-in-eastern-ukraine-kills-at-least-24-people-collecting-their-pensions/articleshow/123790253.cms,,,2,-1,13,0.5666666666666667,1,1,High
US and allies see yearslong hack as China's most ambitious yet,"A sweeping cyberattack, dubbed Salt Typhoon and attributed to China, has targeted over 80 countries, potentially compromising data from nearly every American. Officials describe the attack as a years-long, coordinated assault on telecommunications and other c…",2025-09-05 03:32:26,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/us-and-allies-see-yearslong-hack-as-chinas-most-ambitious-yet/articleshow/123710683.cms,,,-1,-1,18,0.4,3,1,High
Charlie Kirk shooting: How culture-war opportunism turbocharged the attack on US higher education,"The killing of conservative activist Charlie Kirk has ignited a fierce debate that places American universities in the dock. While the accused had only brief ties to higher education, attention has shifted to faculty remarks, with over a dozen educators disci…",2025-09-17 11:23:21,The Times of India,https://timesofindia.indiatimes.com/education/news/charlie-kirk-shooting-culture-war-opportunism-attack-on-us-higher-ed/articleshow/123943913.cms,,,1,-1,5,0.8333333333333334,1,1,High
One-and-a-half-year-old boy killed in leopard attack in Maharashtra's Sinnar,"In a tragic incident, a one-and-a-half-year-old boy was killed by a leopard in Sinnar taluka, Nashik district, marking the second such fatality in a week. The attack occurred near Nimgaon-Deopur village as the boy was with his family at their farm.",2025-09-14 06:24:57,The Times of India,https://timesofindia.indiatimes.com/city/nashik/one-and-a-half-year-old-boy-killed-in-leopard-attack-in-maharashtras-sinnar/articleshow/123879301.cms,,,-1,-1,9,0.7,1,1,High
Charlie Kirk's assassination: What is known about the aftermath,"As Utah prepares for court proceedings that could result in the state’s most high-profile capital case in years, the broader debate over political extremism and violence in America is likely to intensify further.",2025-09-17 00:41:58,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/charlie-kirks-assassination-what-is-known-about-the-aftermath/articleshow/123932910.cms,,,1,-1,6,0.8,2,1,High
"""Idiots don't understand Idioms"": Mahua Moitra's jibe at BJP after her remarks on Amit Shah","TMC MP Mahua Moitra has strongly defended her remarks against Amit Shah, claiming they were misinterpreted idioms and not a call for violence. An FIR was filed against her for allegedly promoting enmity, but Moitra accused the BJP of twisting her words and us…",2025-08-31 17:39:49,The Times of India,https://economictimes.indiatimes.com/news/politics-and-nation/idiots-dont-understand-idioms-mahua-moitras-jibe-at-bjp-after-her-remarks-on-amit-shah/articleshow/123619230.cms,,,-1,-1,22,0.2666666666666667,2,1,High
"Charlie Kirk Shooter All Conspiracy Theories Explained: Here's all about vantage points, rooftop footage, hand signals and social media claims","Charlie Kirk shooter all conspiracy theories have been explained as the FBI appeals for tips in the Utah Valley University killing. Theories circulate about vantage points, rooftop footage, hand signals and social media claims while the manhunt continues.",2025-09-11 13:14:23,The Times of India,https://economictimes.indiatimes.com/news/international/us/charlie-kirk-shooter-all-conspiracy-theories-explained-fbi-seeks-tips-utah-valley-university-conservative-activist-turning-point-usa-vantage-points-rooftop-footage-hand-signals-social-media-claims-manhunt/articleshow/123831839.cms,,,1,-1,11,0.6333333333333333,1,1,High
"Charlie Kirk's critics to be deported from U.S.? Many lost jobs, face online threats, claim reports",Charlie Kirk's death sparked sharp debates on the social media platforms. Republicans' anger at those disrespecting Charlie Kirk's legacy contrasts with the mockery some of the same figures – including Kirk – directed at past victims of political violence.,2025-09-13 15:59:44,The Times of India,https://economictimes.indiatimes.com/news/international/us/charlie-kirks-critics-to-be-deported-from-u-s-many-lost-jobs-face-online-threats-claim-reports/articleshow/123871630.cms,,,1,-1,9,0.7,2,1,High
FBI releases photos of person of interest in Charlie Kirk's Utah university campus killing,"The FBI is seeking public assistance in the assassination of Charlie Kirk, releasing photos of a person of interest and offering a $100,000 reward. Kirk, a prominent ally of Donald Trump, was fatally shot at Utah Valley University, prompting widespread condem…",2025-09-11 18:21:25,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/fbi-releases-photos-of-person-of-interest-in-charlie-kirks-utah-university-campus-killing/articleshow/123836494.cms,,,1,-1,11,0.6333333333333333,1,1,High
What is Antifa - will Trump designate it as domestic terror organization? What could be the consequences?,"President Donald Trump stated on Monday that he would consider designating Antifa as domestic terrorists, naming the far-left movement part of a larger coalition of radicals showing violence. “It’s something I would do, yeah,” he said to reporters, mentioning…",2025-09-16 18:35:04,The Times of India,https://economictimes.indiatimes.com/news/international/us/what-is-antifa-will-trump-designate-it-as-domestic-terror-organization-what-could-be-the-consequences/articleshow/123928207.cms,,,-1,-1,6,0.8,2,1,High
Chandramouli Nagamallaiah murder: Trump administration plans to deport murderer of Indian national to Cuba,"Two days after an Indian national, Chandra Nagamallaiah was brutally murdered and decapitated by an undocumented immigrant from Cuba, the US Department of Homeland Security (DHS) announced that Immigration and Customs Enforcement (ICE) has started the process…",2025-09-13 00:59:17,The Times of India,https://economictimes.indiatimes.com/news/india/chandramouli-nagamallaiah-murder-trump-administration-plans-to-deport-murderer-of-indian-national-to-cuba/articleshow/123862041.cms,,,5,-1,10,0.6666666666666667,5,1,High
"'I'm going to take it': Suspected Charlie Kirk killer allegedly left a note saying he planned to kill , later confessed in texts","Tyler Robinson has been charged with the murder of Charlie Kirk, with prosecutors citing a text confession and a note indicating Robinson's intent to kill Kirk due to his ""hatred."" The shooting occurred after weeks of planning, with Robinson using a rifle fro…",2025-09-17 02:05:28,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/im-going-to-take-it-suspected-charlie-kirk-killer-left-a-note-saying-he-planned-to-kill-later-confessed-in-texts/articleshow/123933359.cms,,,1,-1,6,0.8,5,1,High
"At least 25 killed in Pakistan attacks, including 14 at political rally","A series of attacks in Pakistan on Tuesday resulted in at least 25 fatalities. A suicide bombing at a Balochistan National Party rally in Quetta killed 14 and wounded dozens. Separately, five paramilitary personnel died near the Iranian border, and six soldie…",2025-09-03 00:40:25,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/at-least-25-killed-in-pakistan-attacks-including-14-at-political-rally/articleshow/123667041.cms,,,2,-1,20,0.33333333333333337,1,1,High
EU summons Russian envoy after mission damaged in Kyiv strike,"The EU summoned Moscow's envoy in Brussels on Thursday after a massive attack on Kyiv killed at least 14 people and damaged the bloc's diplomatic mission in the city. EU foreign policy chief Kaja Kallas announced on X that the bloc was ""summoning the Russian …",2025-08-28 11:21:26,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/eu-summons-russian-envoy-after-mission-damaged-in-kyiv-strike/articleshow/123563523.cms,,,2,-1,25,0.16666666666666663,1,1,High
"'Out for walk with dog': 2 juveniles, youth axe 25-year-old man to death in Chhattisgarh; held","In Chhattisgarh's Raigarh district, a 25-year-old man, Sujit Xalxo, was brutally murdered with an axe by a 19-year-old and two minors due to a long-standing feud. The incident occurred after an argument escalated, leading the accused to attack the victim when…",2025-08-30 03:13:27,The Times of India,https://timesofindia.indiatimes.com/city/raipur/out-for-walk-with-dog-2-juveniles-youth-axe-25-year-old-man-to-death-in-chhattisgarh-held/articleshow/123594919.cms,,,-1,-1,24,0.19999999999999996,5,1,High
EU summons Russian envoy after mission damaged in Kyiv strike,"The EU summoned Moscow's envoy in Brussels on Thursday after a massive attack on Kyiv killed at least 14 people and damaged the bloc's diplomatic mission in the city. EU foreign policy chief Kaja Kallas announced on X that the bloc was ""summoning the Russian …",2025-08-28 11:21:26,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/eu-summons-russian-envoy-after-mission-damaged-in-kyiv-strike/articleshow/123563523.cms,,,2,-1,25,0.16666666666666663,1,1,High
Minneapolis shooter 'obsessed' with killing children,"A 23-year-old shooter, once a student, opened fire at Annunciation Catholic School in Minneapolis, killing two children and wounding fifteen others, along with three parishioners. FBI Director Kash Patel labeled the attack as domestic terrorism fueled by hate…",2025-08-29 15:23:24,The Times of India,https://timesofindia.indiatimes.com/world/us/minneapolis-shooter-obsessed-with-killing-children/articleshow/123587743.cms,,,1,-1,24,0.19999999999999996,1,1,High
Woman stabbed to death over allegations of witchcraft in Madhepura,"In Madhepura district's Vanshgopal village, Mehroon Khatun was murdered. Accusations of witchcraft led to the brutal attack. A group attacked her with knives near her home. She suffered multiple stab wounds and died. Police are investigating a prior argument …",2025-09-07 16:50:57,The Times of India,https://timesofindia.indiatimes.com/city/patna/woman-stabbed-to-death-over-allegations-of-witchcraft-in-madhepura/articleshow/123749729.cms,,,7,-1,15,0.5,5,1,High
Modi's visit to strengthen India's ties with SCO: Rajnath,Defence Minister Rajnath Singh praised PM Modi's China visit. He highlighted India's diplomatic skill in reshaping geopolitical realities. The visit strengthened India's connection with the Shanghai Cooperation Organisation. BJP circles were excited over SCO'…,2025-09-01 22:22:12,The Times of India,https://timesofindia.indiatimes.com/india/modis-visit-to-strengthen-indias-ties-with-sco-rajnath/articleshow/123643729.cms,,,-1,-1,21,0.30000000000000004,1,1,High
Police attacked during raid in Kishanganj,"A police team in Kishanganj's Khagra area faced a violent attack during a raid related to a theft case, resulting in injuries to four personnel. A woman police officer was physically assaulted and abused. The attackers, including family members of the accused…",2025-09-07 17:12:24,The Times of India,https://timesofindia.indiatimes.com/city/patna/police-attacked-during-raid-in-kishanganj/articleshow/123749972.cms,,,0,-1,15,0.5,3,1,High
"Ahmedabad: Man hacked, run over & stabbed again in revenge; 2 held","In Ahmedabad, Naisal Thakor was brutally murdered in a revenge attack near Paldi police station. CCTV footage captured the gruesome scene where he was hacked, run over, and stabbed repeatedly by seven to eight men. Police suspect Ajay Thakor, whose brother Na…",2025-09-13 01:58:52,The Times of India,https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-man-hacked-run-over-stabbed-again-in-revenge-2-held/articleshow/123862164.cms,,,7,-1,10,0.6666666666666667,5,1,High
How a broken washing machine dispute ended in the beheading of an Indian-origin motel owner in the US,"A motel manager, Chandra Mouli Nagamallaiah, was murdered in Dallas. Yordanis Cobos-Martinez attacked him with a machete. The incident occurred after a dispute over a washing machine. Surveillance footage showed the brutal attack. Cobos-Martinez has a crimina…",2025-09-12 06:34:10,The Times of India,https://economictimes.indiatimes.com/news/new-updates/how-a-broken-washing-machine-dispute-ended-in-the-beheading-of-an-indian-origin-motel-owner-in-the-us/articleshow/123845347.cms,,,7,-1,11,0.6333333333333333,5,1,High
"FBI Director Kash Patel: Online network may have plotted Charlie Kirk killing, 20+ users under probe","FBI Director Kash Patel said more than 20 people are under probe after the killing of Charlie Kirk. The case links to Discord chats and social media posts before the attack. The FBI is now checking messages, users, and evidence to find who else may have known…",2025-09-16 17:20:06,The Times of India,https://economictimes.indiatimes.com/news/international/us/fbi-director-kash-patel-online-network-may-have-plotted-charlie-kirk-killing-20-users-under-probe/articleshow/123927056.cms,,,1,-1,6,0.8,1,1,High
“Truly an honor to play with him”: Kingsley Coman opens up on sharing the pitch with Cristiano Ronaldo at Al Nassr,"Kingsley Coman, the dynamic French winger, has joined Al Nassr from Bayern Munich in a €35 million deal, signing until 2028. He expressed his excitement about playing alongside Cristiano Ronaldo, acknowledging Ronaldo's exceptional finishing skills. Their par…",2025-09-14 14:36:14,The Times of India,https://timesofindia.indiatimes.com/sports/saudi-football/news/truly-an-honor-to-play-with-him-kingsley-coman-opens-up-on-sharing-the-pitch-with-cristiano-ronaldo-at-al-nassr/articleshow/123883386.cms,,,-1,-1,8,0.7333333333333334,1,1,High
Criminals kill BEd student by slitting her throat in Muzaffarpur,"In a shocking incident in Muzaffarpur, Bihar, Tannu Kumari, a 22-year-old BEd student, was murdered in her rented home. Unidentified criminals broke into the house in Bahwal Bazar and slit her throat, also injuring her mother. Police investigation suggests th…",2025-09-16 12:22:50,The Times of India,https://timesofindia.indiatimes.com/city/patna/criminals-kill-bed-student-by-slitting-her-throat-in-muzaffarpur/articleshow/123923102.cms,,,7,-1,6,0.8,5,1,High
Trader’s daughter killed in Madhepura firing,"In a shocking incident, criminals fatally shot a 14-year-old girl, Parwati Kumari, in a Madhepura market. The attack occurred at Sahani Chowk in Puraini Market, targeting her father, a local trader. While he escaped, Parwati was struck in the head and succumb…",2025-09-19 12:50:48,The Times of India,https://timesofindia.indiatimes.com/city/patna/traders-daughter-killed-in-madhepura-firing/articleshow/123999446.cms,,,7,-1,3,0.9,1,1,High
"What we know about Matthew Ruth’s ex-girlfriend, who accused him of stalking her and torching her truck before he killed three officers?","In York County, Matthew James Ruth ambushed police officers. The incident occurred outside his ex-girlfriend's home. Officers were there to arrest him for stalking. Ruth opened fire, killing three officers. Two other officers were critically injured. Ruth was…",2025-09-19 05:39:42,The Times of India,https://economictimes.indiatimes.com/news/international/us/what-we-know-about-matthew-ruths-ex-girlfriend-who-accused-him-of-stalking-her-and-torching-her-truck-before-he-killed-three-officers/articleshow/123990716.cms,,,-1,-1,4,0.8666666666666667,1,1,High
Disturbing video shows Rampage Jackson's son Raja brutally assaulting pro wrestler Syko Stu with punches,"Independent wrestler Syko Stu was allegedly assaulted by Raja Jackson, son of Quinton ""Rampage"" Jackson, at a California indie wrestling event. The incident, streamed live, showed Jackson slamming Stu and delivering numerous punches, leading to serious injuri…",2025-08-24 09:32:29,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-disturbing-video-shows-rampage-jacksons-son-raja-brutally-assaulting-pro-wrestler-syko-stu-with-punches/articleshow/123482763.cms,,,3,-1,30,0.0,3,1,High
Watch: First-ever Russian naval drone strike sinks Ukraine’s largest warship since 2014,"Russia has sunk Ukraine’s reconnaissance ship Simferopol in the Danube River delta, its first confirmed use of a naval drone against a Ukrainian warship. The Ukrainian Navy confirmed one crew member was killed, several were injured, and others remain missing.…",2025-08-29 05:15:00,The Times of India,https://economictimes.indiatimes.com/news/defence/watch-first-ever-russian-naval-drone-strike-sinks-ukraines-largest-warship-since-2014/articleshow/123577037.cms,,,2,-1,25,0.16666666666666663,1,1,High
Charlie Kirk’s final moments: Haunting last words of Trump ally before he was shot dead at Utah Valley university,"Charlie Kirk was speaking at a debate hosted by his nonprofit political organization when he was fatally shot at a college in Utah. Immediately before the shooting, Kirk was taking questions for an audience member about mass shootings and gun violence.Videos …",2025-09-11 05:15:24,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-charlie-kirks-final-moments-haunting-last-words-of-trump-ally-before-he-was-shot-dead-at-utah-valley-university/articleshow/123822479.cms,,,1,-1,12,0.6,2,1,High
"Who is Iryna Zarutska's boyfriend, and his reaction to the murder and the accused DeCarlos Brown Jr; all the details here","Iryna Zarutska, a Ukrainian refugee, was tragically stabbed to death on a Charlotte train. Her boyfriend, Stas Nikulytsia, shared his sorrow and criticized the suspect's prior release. Decarlos Brown Jr., a repeat offender, faces charges. Iryna fled Ukraine i…",2025-09-11 21:34:55,The Times of India,https://economictimes.indiatimes.com/news/international/us/who-is-iryna-zarutskas-boyfriend-and-his-reaction-to-the-murder-and-the-accused-decarlos-brown-jr-all-the-details-here/articleshow/123838379.cms,,,-1,-1,11,0.6333333333333333,5,1,High
Why did Raja violently assault Syko Stu? Father Quinton Jackson finally speaks out amid intense backlash,"Raja Jackson, son of Quinton ""Rampage"" Jackson, is facing severe criticism after a video surfaced showing him allegedly assaulting wrestler Syko Stu during a live-streamed Knokx Pro Wrestling event. The footage depicts Raja delivering multiple punches to Stu'…",2025-08-24 14:55:14,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-why-did-raja-violently-assault-syko-stu-father-quinton-jackson-finally-speaks-out-amid-intense-backlash/articleshow/123485581.cms,,,3,-1,29,0.033333333333333326,3,1,High
"Panthers sack employee for social media post mocking Charlie Kirk killing in Utah Valley University shooting. Here's what staffer said, Carolina Panthers full statement","Panthers sack employee for social media post mocking Charlie Kirk killing in Utah Valley University shooting. The football communications coordinator was dismissed after controversial comments surfaced online, sparking public backlash and team condemnation.",2025-09-11 17:19:03,The Times of India,https://economictimes.indiatimes.com/news/international/us/panthers-sack-employee-for-social-media-post-mocking-charlie-kirk-killing-in-utah-valley-university-shooting-carolina-panthers-fired-charlie-rock-assassination-turning-point-usa-donald-trump-medal-of-freedom-official-statement/articleshow/123835275.cms,,,1,-1,11,0.6333333333333333,1,1,High
'Scary horrible monster': Minneapolis school shooter’s deadly rampage linked to breakup shocker? Final days revealed,"The Minneapolis school shooter Robin Westman recently went through a breakup and was staying with a friend in St. Louis Park, Minnesota, a newly released search warrant revealed. Robin Westman killed two children in a Minneapolis school shooting and injured d…",2025-08-30 09:38:23,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-scary-horrible-monster-minneapolis-school-shooters-robin-westman-deadly-rampage-linked-to-breakup-shocker/articleshow/123599735.cms,,,1,-1,24,0.19999999999999996,1,1,High
"'Shocking, deeply regrettable': India on killing of journalists in Gaza","India's Ministry of External Affairs expressed shock and regret over the killing of journalists in southern Gaza following an Israeli strike on Nasser Hospital. The incident, which resulted in at least 21 deaths, including five journalists, has prompted calls…",2025-08-27 04:42:17,The Times of India,https://economictimes.indiatimes.com/news/india/shocking-deeply-regrettable-india-on-killing-of-journalists-in-gaza/articleshow/123538300.cms,,,2,-1,27,0.09999999999999998,1,1,High
Zelensky urges more Western pressure on Putin after deadly Russian attack,"Following a deadly Russian missile and drone attack on Kyiv that killed 23, including children, President Zelensky urged Western allies to send a ""strong joint signal"" to Putin to bring him to the negotiating table.",2025-08-29 04:09:52,The Times of India,https://economictimes.indiatimes.com/news/defence/zelensky-urges-more-western-pressure-on-putin-after-deadly-russian-attack/articleshow/123576224.cms,,,2,-1,25,0.16666666666666663,1,1,High
"Ukrainian MP Andriy Parubiy killed in Lviv in ""carefully planned"" shooting","Ukrainian lawmaker Andriy Parubiy was fatally shot in Lviv in what authorities are calling a premeditated attack. The former speaker of the Verkhovna Rada died before emergency services arrived, prompting condemnation from President Zelenskyy and European Par…",2025-08-31 01:54:07,The Times of India,https://economictimes.indiatimes.com/news/defence/ukrainian-mp-andriy-parubiy-killed-in-lviv-in-carefully-planned-shooting/articleshow/123609819.cms,,,-1,-1,23,0.23333333333333328,1,1,High
Inside Tren de Aragua: The drug lords Trump has marked while US sinks Caribbean vessel killing 11,The United States is fighting against Tren de Aragua. It is a dangerous drug cartel from Latin America. The US military attacked the cartel's drug boat. The leader of the cartel is Hector Rusthenford Guerrero Flores. He is also known as Nino Guerrero. The US …,2025-09-03 16:31:43,The Times of India,https://economictimes.indiatimes.com/news/international/us/inside-tren-de-aragua-the-drug-lords-trump-has-marked-while-us-sinks-caribbean-vessel-killing-11/articleshow/123680812.cms,,,8,-1,19,0.3666666666666667,1,1,High
"Russia hits Kyiv with drones and missiles, killing 2 people","A massive Russian drone and missile attack struck Kyiv, resulting in casualties. Two people died, including a one-year-old child. Eleven individuals sustained injuries. Smoke rose from the cabinet of ministers building. Fire erupted in an administrative build…",2025-09-07 04:20:42,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/russia-hits-kyiv-with-drones-and-missiles-smoke-seen-rising-from-ukraines-cabinet-building/articleshow/123742793.cms,,,2,-1,16,0.4666666666666667,1,1,High
"US prepares for a new war, marines practice beach assault in Puerto Rico; a few hundred miles away Venezuela readies to hit back","In September 2025, the U.S. increased its military presence in the Caribbean, particularly near Venezuela, citing counter-narcotics operations. Venezuela responded with military exercises, denouncing U.S. actions as threats to its sovereignty. Tensions escala…",2025-09-18 04:36:29,The Times of India,https://economictimes.indiatimes.com/news/international/us/us-prepares-for-a-new-war-marines-practice-beach-assault-in-puerto-rico-a-few-hundred-miles-away-venezuela-readies-to-hit-back/articleshow/123963628.cms,,,-1,-1,5,0.8333333333333334,3,1,High
Israeli foreign minister calls for Hamas' surrender as military pounds Gaza,Israel urged Hamas to surrender. Military strikes persist in Gaza City. Hamas refuses to disarm. They propose hostage release for peace. Strikes killed 14 people. Buildings sheltering displaced Palestinians were hit. Protests in Israel demand a ceasefire and …,2025-09-07 18:53:28,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/israeli-foreign-minister-calls-for-hamas-surrender-as-military-pounds-gaza/articleshow/123751834.cms,,,2,-1,15,0.5,1,1,High
Trump says 11 dead in US strike on drug-carrying boat from Venezuela,"President Donald Trump said that US forces had attacked a boat carrying drugs to the United States Tuesday, killing 11 ""narcoterrorists"" from a gang he alleged was controlled by leftist Venezuelan leader Nicolas Maduro. Trump initially announced at the White …",2025-09-03 00:52:23,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/trump-says-11-dead-in-us-strike-on-drug-carrying-boat-from-venezuela/articleshow/123667087.cms,,,8,-1,20,0.33333333333333337,1,1,High
Qatar bombing tests the limits of the Trump-Netanyahu alliance,"President Trump expressed displeasure after Israel's strike on Hamas in Doha, which killed a Qatari security agent and others, straining relations despite a strong alliance. The attack, ordered by Netanyahu without prior U.S. warning, angered Trump, though an…",2025-09-11 05:34:57,The Times of India,https://economictimes.indiatimes.com/news/defence/qatar-bombing-tests-the-limits-of-the-trump-netanyahu-alliance/articleshow/123822933.cms,,,2,-1,12,0.6,1,1,High
"New India enters into den of terrorists, kills them: Modi","Prime Minister Narendra Modi, addressing a rally in Madhya Pradesh on his 75th birthday, asserted that no nuclear threat can intimidate new India, which strikes directly at terrorists’ homes, while praising Sardar Patel’s legacy and Hyderabad’s historic integ…",2025-09-17 18:40:31,The Times of India,https://economictimes.indiatimes.com/news/india/new-india-enters-into-den-of-terrorists-kills-them-modi/articleshow/123953955.cms,,,-1,-1,5,0.8333333333333334,1,1,High
Manipur govt announces Rs 5 lakh ex gratia each for kin of 2 Assam Rifles jawans killed in ambush,The Manipur government has announced compensation following an ambush on Assam Rifles personnel. Rupees five lakh will be given to the families of the two deceased jawans. Rupees two lakh will be provided to each of the five injured personnel. The government …,2025-09-20 12:27:24,The Times of India,https://economictimes.indiatimes.com/news/defence/manipur-govt-announces-rs-5-lakh-ex-gratia-each-for-kin-of-2-assam-rifles-jawans-killed-in-ambush/articleshow/124015685.cms,,,4,-1,2,0.9333333333333333,1,1,High
Houthis vow 'vengeance' against Israel for killing Yemen PM,"A Houthi official has vowed retaliation against Israel following an Israeli airstrike in Sanaa that resulted in the death of Ahmed al-Rahawi, the Houthis' Prime Minister, along with several other ministers.",2025-08-31 04:56:51,The Times of India,https://economictimes.indiatimes.com/news/defence/houthis-vow-vengeance-against-israel-for-killing-yemen-pm/articleshow/123611279.cms,,,2,-1,23,0.23333333333333328,1,1,High
"Israel strikes a Gaza hospital twice, killing at least 20, including journalists and rescuers","Israeli strikes on Nasser Hospital in Gaza killed at least 20 people, including five journalists, and wounded scores more. The initial strike hit an upper floor, followed by a second strike on a stairwell as journalists and rescue workers arrived.",2025-08-26 01:45:28,The Times of India,https://economictimes.indiatimes.com/news/defence/israel-strikes-a-gaza-hospital-twice-killing-at-least-20-including-journalists-and-rescuers/articleshow/123514124.cms,,,2,-1,28,0.06666666666666665,1,1,High
Twelve soldiers killed in Pakistani Taliban attack: officials,"At least 12 soldiers were killed in an ambush by the Pakistani Taliban in northwest Pakistan on Saturday, local government and security officials told AFP. 00 am when ""armed men opened fire from both sides with heavy weapons"", killing 12 security personnel, a…",2025-09-13 07:01:02,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/twelve-soldiers-killed-in-pakistani-taliban-attack-officials/articleshow/123865635.cms,,,2,-1,10,0.6666666666666667,1,1,High
Suspect in Charlie Kirk killing charged with aggravated murder and weapon and obstruction offenses,Tyler Robinson was charged with aggravated murder for the assassination of conservative activist Charlie Kirk at Utah Valley University. Robinson potentially faces the death penalty if convicted. He is also charged with felony discharge of a firearm and obstr…,2025-09-16 18:18:45,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/suspect-in-charlie-kirk-killing-charged-with-aggravated-murder-and-weapon-and-obstruction-offenses/articleshow/123928354.cms,,,1,-1,6,0.8,5,1,High
"25 killed, over 600 injured in 'Gen-Z' agitation in Nepal","Violent anti-government protests led by the 'Gen Z' group in Nepal have resulted in at least 25 deaths, including three policemen. Security forces opened fire on protesters near the Parliament building, causing numerous casualties. In response to the escalati…",2025-09-10 13:35:56,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/25-killed-over-600-injured-in-gen-z-agitation-in-nepal/articleshow/123810984.cms,,,2,-1,12,0.6,1,1,High
Hamas says five of its members were killed in Israeli attack on Doha,"Hamas reported that five of its members, including the son of Khalil al-Hayya, Hamas's Gaza chief, were killed in an Israeli attack in Doha. The group claimed that Israel's attempt to assassinate its ceasefire negotiation team had failed. A Hamas political bu…",2025-09-09 17:47:16,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/hamas-says-five-of-its-members-were-killed-in-israeli-attack-on-doha/articleshow/123792011.cms,,,2,-1,13,0.5666666666666667,1,1,High
"Charlie Kirk Shooter and Murder Weapon Identified? FBI leads manhunt but will not release picture but why. Footwear impression, palm print, forearm imprints found","Charlie Kirk shooter and murder weapon identified by the FBI after the conservative activist was fatally shot at Utah Valley University. Officials recovered a bolt-action rifle, tracked suspect movements, and continue a nationwide manhunt.",2025-09-11 14:11:06,The Times of India,https://economictimes.indiatimes.com/news/international/us/charlie-kirk-shooter-and-murder-weapon-identified-fbi-leads-manhunt-but-will-not-release-picture-footwear-impression-palm-print-forearm-imprints-found-movements-escape-route-investigation-security-footage/articleshow/123832999.cms,,,1,-1,11,0.6333333333333333,5,1,High
"'When we take PoK back, our objective will be achieved...': Uma Bharti lauds Operation Sindoor","India launched Operation Sindoor on May 7 as a military response to the April 22 Pahalgam terror attack in which 26 people were killed. The Indian Armed Forces targeted terror infrastructure in Pakistan and Pakistan-occupied Kashmir, leading to the eliminatio…",2025-08-30 05:04:46,The Times of India,https://economictimes.indiatimes.com/news/politics-and-nation/when-we-take-pok-back-our-objective-will-be-achieved-uma-bharti-lauds-operation-sindoor/articleshow/123596266.cms,,,6,-1,24,0.19999999999999996,1,1,High
"New York-based doctor shares ways to clear the sticky layer of fat and cholesterol in arteries, a major cause of heart attack","Dr. Vassily Eliopoulos suggests that plaque buildup in arteries isn't always permanent and can potentially be reversed by addressing the root cause. He recommends advanced testing, a Mediterranean-style diet, regular exercise, sufficient sleep, and therapeuti…",2025-09-01 04:03:02,The Times of India,https://economictimes.indiatimes.com/news/new-updates/new-york-based-doctor-shares-ways-to-clear-the-sticky-layer-of-fat-and-cholesterol-in-arteries-a-major-cause-of-heart-attack/articleshow/123625582.cms,,,-1,-1,22,0.2666666666666667,5,1,High
Luigi Mangione secures big win in UnitedHealthcare CEO Brian Thompson shooting case: Here's what the judge said,"Luigi Mangione, accused of fatally shooting UnitedHealthcare CEO Brian Thompson, saw terrorism charges dismissed by a New York judge. Judge Gregory Carro allowed a second-degree murder charge to stand, setting the stage for a December 2024 trial. Despite faci…",2025-09-16 14:57:20,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-luigi-mangione-secures-big-win-in-unitedhealthcare-ceo-brian-thompson-shooting-case-heres-what-the-judge-said/articleshow/123925554.cms,,,-1,-1,6,0.8,5,1,High
